phi_deg,理论_x,理论_y,实际_x,实际_y,z
81.0,98.1791,-63.8183,88.1179,-57.2783,0
81.5,97.6185,-64.6726,87.6147,-58.0451,0
82.0,97.0504,-65.5220,87.1048,-58.8074,0
82.5,96.4749,-66.3664,86.5883,-59.5653,0
83.0,95.8921,-67.2058,86.0652,-60.3187,0
83.5,95.3019,-68.0401,85.5356,-61.0674,0
84.0,94.7046,-68.8691,84.9994,-61.8115,0
84.5,94.1000,-69.6929,84.4568,-62.5509,0
85.0,93.4882,-70.5115,83.9077,-63.2856,0
85.5,92.8693,-71.3246,83.3522,-64.0154,0
86.0,92.2434,-72.1323,82.7904,-64.7403,0
86.5,91.6104,-72.9345,82.2223,-65.4603,0
87.0,90.9704,-73.7312,81.6479,-66.1753,0
87.5,90.3236,-74.5222,81.0673,-66.8853,0
88.0,89.6698,-75.3076,80.4806,-67.5902,0
88.5,89.0092,-76.0873,79.8877,-68.2900,0
89.0,88.3418,-76.8611,79.2887,-68.9845,0
89.5,87.6677,-77.6291,78.6837,-69.6738,0
90.0,86.9870,-78.3912,78.0727,-70.3578,0
90.5,86.2996,-79.1473,77.4557,-71.0364,0
91.0,85.6056,-79.8974,76.8329,-71.7096,0
91.5,84.9051,-80.6414,76.2042,-72.3774,0
92.0,84.1982,-81.3792,75.5697,-73.0396,0
92.5,83.4848,-82.1109,74.9294,-73.6963,0
93.0,82.7651,-82.8363,74.2835,-74.3474,0
93.5,82.0391,-83.5554,73.6318,-74.9928,0
94.0,81.3068,-84.2681,72.9746,-75.6325,0
94.5,80.5683,-84.9744,72.3118,-76.2664,0
95.0,79.8237,-85.6743,71.6435,-76.8945,0
95.5,79.0730,-86.3676,70.9698,-77.5168,0
96.0,78.3163,-87.0544,70.2906,-78.1332,0
96.5,77.5537,-87.7345,69.6061,-78.7436,0
97.0,76.7851,-88.4079,68.9163,-79.3480,0
97.5,76.0107,-89.0746,68.2212,-79.9464,0
98.0,75.2305,-89.7345,67.5210,-80.5387,0
98.5,74.4445,-90.3876,66.8156,-81.1248,0
99.0,73.6529,-91.0338,66.1051,-81.7048,0
99.5,72.8557,-91.6731,65.3896,-82.2786,0
100.0,72.0530,-92.3054,64.6691,-82.8461,0
100.5,71.2447,-92.9306,63.9437,-83.4072,0
101.0,70.4310,-93.5488,63.2134,-83.9621,0
101.5,69.6120,-94.1599,62.4783,-84.5105,0
102.0,68.7877,-94.7637,61.7384,-85.0525,0
102.5,67.9581,-95.3604,60.9939,-85.5880,0
103.0,67.1233,-95.9498,60.2446,-86.1170,0
103.5,66.2835,-96.5319,59.4908,-86.6395,0
104.0,65.4386,-97.1067,58.7325,-87.1553,0
104.5,64.5887,-97.6740,57.9697,-87.6646,0
105.0,63.7338,-98.2339,57.2025,-88.1671,0
105.5,62.8742,-98.7864,56.4309,-88.6629,0
106.0,62.0097,-99.3313,55.6551,-89.1520,0
106.5,61.1405,-99.8686,54.8750,-89.6343,0
107.0,60.2667,-100.3984,54.0907,-90.1097,0
